GENE; control 20 min;MazF 20 min; control 1h;MazF 1h;MazF regulon
fbaA;-1.621488452;-6.158429146;0.916094422;-5.717856884;no
bcp;-2.126580477;-5.795859337;0.878136814;-5.717856884;no
ptsG;-2.132894278;-5.506352901;0.716332495;-5.717856884;no
pyrG;-1.910501838;-6.26534462;0.579180121;-5.795859337;no
ompX;-3.197599888;-6.058893681;0.172487482;-5.795859337;no
asnS;-2.046921015;-6.26534462;0.731183231;-5.795859337;no
eno;-2.15200305;-6.158429146;0.897627711;-5.878321171;no
glyS;-1.937878251;-6.058893681;0.615416229;-5.878321171;no
prs;-1.994240761;-5.965784073;0.562669814;-5.878321171;no
htpG;-0.836501241;-5.321928024;1.395611286;-5.965784073;no
dnaK;-0.687334836;-5.717856884;1.570948601;-6.058893681;no
glmS;-2.689659834;-6.058893681;0.324234545;-6.058893681;no
leuS;-1.617056131;-5.506352901;0.962734103;-6.058893681;no
suhB;-1.200912714;-6.643856049;0.608809233;-6.058893681;no
pgi;-1.948975921;-6.506352901;0.789937854;-6.158429146;no
accC;-2.351074457;-6.380821705;0.388465106;-6.158429146;no
ychF;-2.046921015;-2.26534462;0.616357684;-6.158429146;no
ackA;-2.867752314;-5.795859337;0.124328181;-6.26534462;no
purF;-2.82623291;-5.573466778;-0.142417014;-6.26534462;no
purB;-2.190997362;-6.643856049;0.638768971;-6.380821705;no
purC;-2.689659834;-6.380821705;0.36513257;-6.380821705;no
glyA;-2.590744972;-6.643856049;-0.040971778;-6.506352901;no
purL;-2.244685173;-6.380821705;0.341416478;-6.506352901;no
purD;-3.680382013;-1.639354706;-0.61263752;-6.506352901;no
pykF;-2.490050793;-7.158429146;0.737254143;-6.795859337;no
guaB;-2.805912971;-3.98850441;-0.577766955;-6.795859337;no
purH;-3.625934362;-4.573466778;-0.508403361;-6.795859337;no
guaA;-2.95455718;-6.795859337;-0.454031587;-6.795859337;no
